nohup: ignoring input
[2026-06-26 15:55:55 +1000] [3615998] [INFO] Starting gunicorn 25.0.3
[2026-06-26 15:55:55 +1000] [3615998] [INFO] Listening at: http://0.0.0.0:80 (3615998)
[2026-06-26 15:55:55 +1000] [3615998] [INFO] Using worker: sync
[2026-06-26 15:55:55 +1000] [3615999] [INFO] Booting worker with pid: 3615999
[2026-06-26 15:55:55 +1000] [3616000] [INFO] Booting worker with pid: 3616000
[2026-06-26 15:55:55 +1000] [3616001] [INFO] Booting worker with pid: 3616001
[2026-06-26 15:55:55 +1000] [3616011] [INFO] Booting worker with pid: 3616011
DB columns: {'windspdmax', 'batt_v', 'temperature', 'logger_temp', 'wind_speed', 'solar_flux_density_wm2', 'timestamp', 'tiltns', 'cs320_tilt', 'par_den', 'dewpoint_temp', 'strikes', 'wind_direction', 'timestamp_utc', 'preciptip', 'cs320_vout', 'precipdrop', 'par_tot', 'cs320_temp', 'airtempmin', 'atmospheric_pressure', 'par_den_2', 'cs320_total_energy_mj', 'vp', 'tiltwe', 'precipec', 'airtempmax', 'precipitation', 'rhtemp', 'par_tot_2', 'cs320_irradiance', 'cs320_energy_mj', 'dist', 'tiltxy', 'humidity'}
utc 2026-06-26 05:59:13
Received POST: BattV=12.092320,PTemp_C=20.773590,SlrFD_W=123.500000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=0.660000,WindDir=135.500000,MaxWS_ms=0.910000,AirT_C=14.100000,VP_mbar=11.900000,BP_mbar=1022.600000,RH=74.000000,RHT_C=15.000000,TiltNS_deg=-1.000000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=14.100000,TMax=14.200000,SlrTF_MJ=0.001235,SlrW=141.296000,Raw_mV=5.700000,CS320_Temp=16.105000,CS320_Angle=0.888000,SlrMJ=0.001413,PAR_Den=0.073918,PAR_Tot=0.000739,PAR_Den_2=0.045523,PAR_Tot_2=0.000455
utc 2026-06-26 05:59:23
Received POST: BattV=12.087700,PTemp_C=20.781490,SlrFD_W=122.000000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=1.030000,WindDir=133.900000,MaxWS_ms=1.270000,AirT_C=14.300000,VP_mbar=12.000000,BP_mbar=1022.600000,RH=73.000000,RHT_C=15.000000,TiltNS_deg=-1.000000,TiltWE_deg=-1.500000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=14.200000,TMax=14.300000,SlrTF_MJ=0.001220,SlrW=139.447000,Raw_mV=5.625000,CS320_Temp=16.124000,CS320_Angle=0.887000,SlrMJ=0.001394,PAR_Den=0.074857,PAR_Tot=0.000749,PAR_Den_2=0.059224,PAR_Tot_2=0.000592
utc 2026-06-26 06:00:23
Received POST: BattV=12.094160,PTemp_C=20.782680,SlrFD_W=121.500000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=0.890000,WindDir=148.800000,MaxWS_ms=1.060000,AirT_C=14.300000,VP_mbar=11.900000,BP_mbar=1022.600000,RH=73.000000,RHT_C=14.900000,TiltNS_deg=-1.000000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=14.200000,TMax=14.300000,SlrTF_MJ=0.001215,SlrW=139.289000,Raw_mV=5.619000,CS320_Temp=16.095000,CS320_Angle=0.886000,SlrMJ=0.001393,PAR_Den=0.075977,PAR_Tot=0.000760,PAR_Den_2=0.049729,PAR_Tot_2=0.000497
utc 2026-06-26 06:00:33
Received POST: BattV=12.088190,PTemp_C=20.783910,SlrFD_W=121.200000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=0.770000,WindDir=147.200000,MaxWS_ms=0.780000,AirT_C=14.300000,VP_mbar=12.000000,BP_mbar=1022.600000,RH=74.000000,RHT_C=15.000000,TiltNS_deg=-0.900000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=14.200000,TMax=14.300000,SlrTF_MJ=0.001212,SlrW=138.647000,Raw_mV=5.593000,CS320_Temp=16.116000,CS320_Angle=0.892000,SlrMJ=0.001386,PAR_Den=0.088120,PAR_Tot=0.000881,PAR_Den_2=0.060433,PAR_Tot_2=0.000604
utc 2026-06-26 06:00:43
Received POST: BattV=12.093860,PTemp_C=20.785100,SlrFD_W=120.100000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=1.100000,WindDir=179.900000,MaxWS_ms=1.570000,AirT_C=14.300000,VP_mbar=11.900000,BP_mbar=1022.600000,RH=73.000000,RHT_C=15.000000,TiltNS_deg=-1.000000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=14.200000,TMax=14.400000,SlrTF_MJ=0.001201,SlrW=138.600000,Raw_mV=5.591000,CS320_Temp=16.153000,CS320_Angle=0.899000,SlrMJ=0.001386,PAR_Den=0.088302,PAR_Tot=0.000883,PAR_Den_2=0.065597,PAR_Tot_2=0.000656
utc 2026-06-26 06:00:53
Received POST: BattV=12.092470,PTemp_C=20.786320,SlrFD_W=119.500000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=1.870000,WindDir=167.500000,MaxWS_ms=2.060000,AirT_C=14.000000,VP_mbar=12.000000,BP_mbar=1022.600000,RH=74.000000,RHT_C=15.000000,TiltNS_deg=-1.000000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=13.900000,TMax=14.100000,SlrTF_MJ=0.001195,SlrW=138.455000,Raw_mV=5.585000,CS320_Temp=16.108000,CS320_Angle=0.903000,SlrMJ=0.001385,PAR_Den=0.078043,PAR_Tot=0.000780,PAR_Den_2=0.048771,PAR_Tot_2=0.000488
utc 2026-06-26 06:01:03
